"cell_id","scenario_id","scenario_order","scenario_label","short_label","purpose","in_main_text","n","h","is_null","reps","alpha","atom","seed","effect_text","pi0","pi1","expected_combined_delta","empirical_combined_delta","empirical_combined_delta_sd","completed_at"
11,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,50,1,FALSE,10000,0.05,0,20260426,"$\\delta = 0.20$",0.85,0.85,0.17,0.164865063494382,0.28983561062531,"2026-04-17 18:08:00 CEST"
12,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,100,1,FALSE,10000,0.05,0,20260427,"$\\delta = 0.20$",0.85,0.85,0.17,0.170814314073797,0.201127095775694,"2026-04-17 18:05:14 CEST"
13,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,150,1,FALSE,10000,0.05,0,20260428,"$\\delta = 0.20$",0.85,0.85,0.17,0.170861039789218,0.164866362539534,"2026-04-17 18:08:51 CEST"
14,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,200,1,FALSE,10000,0.05,0,20260429,"$\\delta = 0.20$",0.85,0.85,0.17,0.170229509314102,0.145232866766004,"2026-04-17 18:10:54 CEST"
15,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,250,1,FALSE,10000,0.05,0,20260430,"$\\delta = 0.20$",0.85,0.85,0.17,0.169317547693054,0.128346816267413,"2026-04-17 18:13:52 CEST"
16,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,300,1,FALSE,10000,0.05,0,20260431,"$\\delta = 0.20$",0.85,0.85,0.17,0.170173002891505,0.11795756664458,"2026-04-17 18:24:28 CEST"
17,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,350,1,FALSE,10000,0.05,0,20260432,"$\\delta = 0.20$",0.85,0.85,0.17,0.170489237724083,0.109046522842721,"2026-04-17 18:23:10 CEST"
18,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,400,1,FALSE,10000,0.05,0,20260433,"$\\delta = 0.20$",0.85,0.85,0.17,0.170222749442503,0.100827534969429,"2026-04-17 18:21:36 CEST"
19,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,450,1,FALSE,10000,0.05,0,20260434,"$\\delta = 0.20$",0.85,0.85,0.17,0.168987431532347,0.0967170219640782,"2026-04-17 18:48:41 CEST"
20,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,500,1,FALSE,10000,0.05,0,20260435,"$\\delta = 0.20$",0.85,0.85,0.17,0.170508670114465,0.0906138384191613,"2026-04-17 18:32:08 CEST"
21,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,50,2,FALSE,10000,0.05,0,20260436,"$\\delta = 0.35$",0.85,0.85,0.2975,0.298486755206369,0.289416393744823,"2026-04-17 18:08:13 CEST"
22,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,100,2,FALSE,10000,0.05,0,20260437,"$\\delta = 0.35$",0.85,0.85,0.2975,0.299190460227372,0.208755630840269,"2026-04-17 18:06:27 CEST"
23,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,150,2,FALSE,10000,0.05,0,20260438,"$\\delta = 0.35$",0.85,0.85,0.2975,0.299079640124003,0.168570564557002,"2026-04-17 18:08:28 CEST"
24,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,200,2,FALSE,10000,0.05,0,20260439,"$\\delta = 0.35$",0.85,0.85,0.2975,0.298572459145236,0.146182165838732,"2026-04-17 17:58:58 CEST"
25,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,250,2,FALSE,10000,0.05,0,20260440,"$\\delta = 0.35$",0.85,0.85,0.2975,0.294679496783226,0.132105274652696,"2026-04-17 18:01:14 CEST"
26,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,300,2,FALSE,10000,0.05,0,20260441,"$\\delta = 0.35$",0.85,0.85,0.2975,0.29730706476491,0.120127610430942,"2026-04-17 18:02:52 CEST"
27,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,350,2,FALSE,10000,0.05,0,20260442,"$\\delta = 0.35$",0.85,0.85,0.2975,0.29784955462682,0.110296547901907,"2026-04-17 18:04:29 CEST"
28,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,400,2,FALSE,10000,0.05,0,20260443,"$\\delta = 0.35$",0.85,0.85,0.2975,0.296477326451381,0.103917210134924,"2026-04-17 18:05:49 CEST"
29,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,450,2,FALSE,10000,0.05,0,20260444,"$\\delta = 0.35$",0.85,0.85,0.2975,0.29842876103921,0.0975666434792772,"2026-04-17 18:07:40 CEST"
30,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,500,2,FALSE,10000,0.05,0,20260445,"$\\delta = 0.35$",0.85,0.85,0.2975,0.295828179513619,0.0920796915679647,"2026-04-17 18:09:46 CEST"
31,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,50,3,FALSE,10000,0.05,0,20260446,"$\\delta = 0.50$",0.85,0.85,0.425,0.434245367838581,0.299992373767664,"2026-04-17 17:52:46 CEST"
32,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,100,3,FALSE,10000,0.05,0,20260447,"$\\delta = 0.50$",0.85,0.85,0.425,0.423579261974089,0.21079291280025,"2026-04-17 17:54:55 CEST"
33,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,150,3,FALSE,10000,0.05,0,20260448,"$\\delta = 0.50$",0.85,0.85,0.425,0.425035651663685,0.170736987902458,"2026-04-17 17:57:41 CEST"
34,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,200,3,FALSE,10000,0.05,0,20260449,"$\\delta = 0.50$",0.85,0.85,0.425,0.424288951187513,0.14927793310332,"2026-04-17 17:59:21 CEST"
35,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,250,3,FALSE,10000,0.05,0,20260450,"$\\delta = 0.50$",0.85,0.85,0.425,0.42699657571243,0.133271844504528,"2026-04-17 18:01:07 CEST"
36,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,300,3,FALSE,10000,0.05,0,20260451,"$\\delta = 0.50$",0.85,0.85,0.425,0.422795698529831,0.121454851514005,"2026-04-17 18:02:03 CEST"
37,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,350,3,FALSE,10000,0.05,0,20260452,"$\\delta = 0.50$",0.85,0.85,0.425,0.425615941042198,0.111942664399409,"2026-04-17 18:03:55 CEST"
38,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,400,3,FALSE,10000,0.05,0,20260453,"$\\delta = 0.50$",0.85,0.85,0.425,0.424636316372896,0.105473175063758,"2026-04-17 18:05:46 CEST"
39,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,450,3,FALSE,10000,0.05,0,20260454,"$\\delta = 0.50$",0.85,0.85,0.425,0.424128006452141,0.0993960161657793,"2026-04-17 18:07:30 CEST"
40,"S1",1,"S1: Normal survivor shift, low atom","S1 Normal survivor shift","Baseline parametric reference where the survivor distribution is normal, the atom probability is unchanged, and both TruncComp2 methods should track each other closely.",FALSE,500,3,FALSE,10000,0.05,0,20260455,"$\\delta = 0.50$",0.85,0.85,0.425,0.426247241763093,0.093208580562851,"2026-04-17 18:09:46 CEST"
41,"S2",2,"S2: Survival-only effect","S2 Survival-only effect","Two-degree-of-freedom penalty case where treatment acts only through the binary observation component.",TRUE,50,0,TRUE,10000,0.05,0,20260456,"$\\pi_1 = 0.45$",0.45,0.45,0,0.000498720020310785,0.328011820008376,"2026-04-17 17:52:10 CEST"
42,"S2",2,"S2: Survival-only effect","S2 Survival-only effect","Two-degree-of-freedom penalty case where treatment acts only through the binary observation component.",TRUE,100,0,TRUE,10000,0.05,0,20260457,"$\\pi_1 = 0.45$",0.45,0.45,0,0.00296992234255886,0.232942858878575,"2026-04-17 17:53:29 CEST"
43,"S2",2,"S2: Survival-only effect","S2 Survival-only effect","Two-degree-of-freedom penalty case where treatment acts only through the binary observation component.",TRUE,150,0,TRUE,10000,0.05,0,20260458,"$\\pi_1 = 0.45$",0.45,0.45,0,-0.00209605080990729,0.189434729004614,"2026-04-17 17:54:41 CEST"
44,"S2",2,"S2: Survival-only effect","S2 Survival-only effect","Two-degree-of-freedom penalty case where treatment acts only through the binary observation component.",TRUE,200,0,TRUE,10000,0.05,0,20260459,"$\\pi_1 = 0.45$",0.45,0.45,0,-0.00248966976406352,0.162377775268517,"2026-04-17 17:55:51 CEST"
45,"S2",2,"S2: Survival-only effect","S2 Survival-only effect","Two-degree-of-freedom penalty case where treatment acts only through the binary observation component.",TRUE,250,0,TRUE,10000,0.05,0,20260460,"$\\pi_1 = 0.45$",0.45,0.45,0,0.000159379255854881,0.147172218766305,"2026-04-17 17:57:07 CEST"
46,"S2",2,"S2: Survival-only effect","S2 Survival-only effect","Two-degree-of-freedom penalty case where treatment acts only through the binary observation component.",TRUE,300,0,TRUE,10000,0.05,0,20260461,"$\\pi_1 = 0.45$",0.45,0.45,0,-0.000693186377671829,0.13453657172566,"2026-04-17 17:58:18 CEST"
47,"S2",2,"S2: Survival-only effect","S2 Survival-only effect","Two-degree-of-freedom penalty case where treatment acts only through the binary observation component.",TRUE,350,0,TRUE,10000,0.05,0,20260462,"$\\pi_1 = 0.45$",0.45,0.45,0,7.62991676431813e-05,0.123274447662474,"2026-04-17 17:59:15 CEST"
48,"S2",2,"S2: Survival-only effect","S2 Survival-only effect","Two-degree-of-freedom penalty case where treatment acts only through the binary observation component.",TRUE,400,0,TRUE,10000,0.05,0,20260463,"$\\pi_1 = 0.45$",0.45,0.45,0,0.000641799669518657,0.115462778122096,"2026-04-17 18:00:23 CEST"
49,"S2",2,"S2: Survival-only effect","S2 Survival-only effect","Two-degree-of-freedom penalty case where treatment acts only through the binary observation component.",TRUE,450,0,TRUE,10000,0.05,0,20260464,"$\\pi_1 = 0.45$",0.45,0.45,0,0.000513180983559271,0.108927002752306,"2026-04-17 18:01:40 CEST"
50,"S2",2,"S2: Survival-only effect","S2 Survival-only effect","Two-degree-of-freedom penalty case where treatment acts only through the binary observation component.",TRUE,500,0,TRUE,10000,0.05,0,20260465,"$\\pi_1 = 0.45$",0.45,0.45,0,-0.0012808591469662,0.102265664320438,"2026-04-17 18:02:47 CEST"
51,"S2",2,"S2: Survival-only effect","S2 Survival-only effect","Two-degree-of-freedom penalty case where treatment acts only through the binary observation component.",TRUE,50,1,FALSE,10000,0.05,0,20260466,"$\\pi_1 = 0.50$",0.45,0.5,0.15,0.150715413607388,0.327920527060818,"2026-04-17 17:52:04 CEST"
52,"S2",2,"S2: Survival-only effect","S2 Survival-only effect","Two-degree-of-freedom penalty case where treatment acts only through the binary observation component.",TRUE,100,1,FALSE,10000,0.05,0,20260467,"$\\pi_1 = 0.50$",0.45,0.5,0.15,0.147720246769165,0.231582961298478,"2026-04-17 17:53:18 CEST"
53,"S2",2,"S2: Survival-only effect","S2 Survival-only effect","Two-degree-of-freedom penalty case where treatment acts only through the binary observation component.",TRUE,150,1,FALSE,10000,0.05,0,20260468,"$\\pi_1 = 0.50$",0.45,0.5,0.15,0.149363581987163,0.189695891674884,"2026-04-17 17:54:48 CEST"
54,"S2",2,"S2: Survival-only effect","S2 Survival-only effect","Two-degree-of-freedom penalty case where treatment acts only through the binary observation component.",TRUE,200,1,FALSE,10000,0.05,0,20260469,"$\\pi_1 = 0.50$",0.45,0.5,0.15,0.152251611809377,0.164263633528042,"2026-04-17 17:55:52 CEST"
55,"S2",2,"S2: Survival-only effect","S2 Survival-only effect","Two-degree-of-freedom penalty case where treatment acts only through the binary observation component.",TRUE,250,1,FALSE,10000,0.05,0,20260470,"$\\pi_1 = 0.50$",0.45,0.5,0.15,0.150966899398144,0.150109734461335,"2026-04-17 17:57:14 CEST"
56,"S2",2,"S2: Survival-only effect","S2 Survival-only effect","Two-degree-of-freedom penalty case where treatment acts only through the binary observation component.",TRUE,300,1,FALSE,10000,0.05,0,20260471,"$\\pi_1 = 0.50$",0.45,0.5,0.15,0.148189328242198,0.135189533523278,"2026-04-17 17:58:29 CEST"
57,"S2",2,"S2: Survival-only effect","S2 Survival-only effect","Two-degree-of-freedom penalty case where treatment acts only through the binary observation component.",TRUE,350,1,FALSE,10000,0.05,0,20260472,"$\\pi_1 = 0.50$",0.45,0.5,0.15,0.151205968189449,0.124452535868747,"2026-04-17 17:59:52 CEST"
58,"S2",2,"S2: Survival-only effect","S2 Survival-only effect","Two-degree-of-freedom penalty case where treatment acts only through the binary observation component.",TRUE,400,1,FALSE,10000,0.05,0,20260473,"$\\pi_1 = 0.50$",0.45,0.5,0.15,0.148547564112108,0.117162809661108,"2026-04-17 18:01:13 CEST"
59,"S2",2,"S2: Survival-only effect","S2 Survival-only effect","Two-degree-of-freedom penalty case where treatment acts only through the binary observation component.",TRUE,450,1,FALSE,10000,0.05,0,20260474,"$\\pi_1 = 0.50$",0.45,0.5,0.15,0.149992174203175,0.110446473834293,"2026-04-17 18:02:02 CEST"
60,"S2",2,"S2: Survival-only effect","S2 Survival-only effect","Two-degree-of-freedom penalty case where treatment acts only through the binary observation component.",TRUE,500,1,FALSE,10000,0.05,0,20260475,"$\\pi_1 = 0.50$",0.45,0.5,0.15,0.148427093835356,0.104552690328726,"2026-04-17 18:02:47 CEST"
61,"S2",2,"S2: Survival-only effect","S2 Survival-only effect","Two-degree-of-freedom penalty case where treatment acts only through the binary observation component.",TRUE,50,2,FALSE,10000,0.05,0,20260476,"$\\pi_1 = 0.55$",0.45,0.55,0.3,0.294110533586267,0.331383371963167,"2026-04-17 17:52:02 CEST"
62,"S2",2,"S2: Survival-only effect","S2 Survival-only effect","Two-degree-of-freedom penalty case where treatment acts only through the binary observation component.",TRUE,100,2,FALSE,10000,0.05,0,20260477,"$\\pi_1 = 0.55$",0.45,0.55,0.3,0.299467191134619,0.23089992760616,"2026-04-17 17:54:06 CEST"
63,"S2",2,"S2: Survival-only effect","S2 Survival-only effect","Two-degree-of-freedom penalty case where treatment acts only through the binary observation component.",TRUE,150,2,FALSE,10000,0.05,0,20260478,"$\\pi_1 = 0.55$",0.45,0.55,0.3,0.298644005523085,0.18923957293048,"2026-04-17 17:54:55 CEST"
64,"S2",2,"S2: Survival-only effect","S2 Survival-only effect","Two-degree-of-freedom penalty case where treatment acts only through the binary observation component.",TRUE,200,2,FALSE,10000,0.05,0,20260479,"$\\pi_1 = 0.55$",0.45,0.55,0.3,0.297657474017741,0.166037627140585,"2026-04-17 17:57:00 CEST"
65,"S2",2,"S2: Survival-only effect","S2 Survival-only effect","Two-degree-of-freedom penalty case where treatment acts only through the binary observation component.",TRUE,250,2,FALSE,10000,0.05,0,20260480,"$\\pi_1 = 0.55$",0.45,0.55,0.3,0.300326064322083,0.147842218635481,"2026-04-17 17:58:20 CEST"
66,"S2",2,"S2: Survival-only effect","S2 Survival-only effect","Two-degree-of-freedom penalty case where treatment acts only through the binary observation component.",TRUE,300,2,FALSE,10000,0.05,0,20260481,"$\\pi_1 = 0.55$",0.45,0.55,0.3,0.299867284823774,0.13422821706199,"2026-04-17 17:58:46 CEST"
67,"S2",2,"S2: Survival-only effect","S2 Survival-only effect","Two-degree-of-freedom penalty case where treatment acts only through the binary observation component.",TRUE,350,2,FALSE,10000,0.05,0,20260482,"$\\pi_1 = 0.55$",0.45,0.55,0.3,0.299939952429638,0.124205417039125,"2026-04-17 18:00:22 CEST"
68,"S2",2,"S2: Survival-only effect","S2 Survival-only effect","Two-degree-of-freedom penalty case where treatment acts only through the binary observation component.",TRUE,400,2,FALSE,10000,0.05,0,20260483,"$\\pi_1 = 0.55$",0.45,0.55,0.3,0.301370504306045,0.116883069287357,"2026-04-17 18:01:24 CEST"
69,"S2",2,"S2: Survival-only effect","S2 Survival-only effect","Two-degree-of-freedom penalty case where treatment acts only through the binary observation component.",TRUE,450,2,FALSE,10000,0.05,0,20260484,"$\\pi_1 = 0.55$",0.45,0.55,0.3,0.300521469745014,0.109552172914587,"2026-04-17 18:03:04 CEST"
70,"S2",2,"S2: Survival-only effect","S2 Survival-only effect","Two-degree-of-freedom penalty case where treatment acts only through the binary observation component.",TRUE,500,2,FALSE,10000,0.05,0,20260485,"$\\pi_1 = 0.55$",0.45,0.55,0.3,0.298835376594588,0.103438997725246,"2026-04-17 18:03:26 CEST"
71,"S2",2,"S2: Survival-only effect","S2 Survival-only effect","Two-degree-of-freedom penalty case where treatment acts only through the binary observation component.",TRUE,50,3,FALSE,10000,0.05,0,20260486,"$\\pi_1 = 0.60$",0.45,0.6,0.45,0.450741794560439,0.330301266739152,"2026-04-17 17:52:07 CEST"
72,"S2",2,"S2: Survival-only effect","S2 Survival-only effect","Two-degree-of-freedom penalty case where treatment acts only through the binary observation component.",TRUE,100,3,FALSE,10000,0.05,0,20260487,"$\\pi_1 = 0.60$",0.45,0.6,0.45,0.451523460826183,0.235627918709135,"2026-04-17 17:53:47 CEST"
73,"S2",2,"S2: Survival-only effect","S2 Survival-only effect","Two-degree-of-freedom penalty case where treatment acts only through the binary observation component.",TRUE,150,3,FALSE,10000,0.05,0,20260488,"$\\pi_1 = 0.60$",0.45,0.6,0.45,0.447995870600137,0.190844716208796,"2026-04-17 17:54:54 CEST"
74,"S2",2,"S2: Survival-only effect","S2 Survival-only effect","Two-degree-of-freedom penalty case where treatment acts only through the binary observation component.",TRUE,200,3,FALSE,10000,0.05,0,20260489,"$\\pi_1 = 0.60$",0.45,0.6,0.45,0.452244433846506,0.163707532139215,"2026-04-17 17:56:43 CEST"
75,"S2",2,"S2: Survival-only effect","S2 Survival-only effect","Two-degree-of-freedom penalty case where treatment acts only through the binary observation component.",TRUE,250,3,FALSE,10000,0.05,0,20260490,"$\\pi_1 = 0.60$",0.45,0.6,0.45,0.450694512648336,0.146880136147133,"2026-04-17 17:58:26 CEST"
76,"S2",2,"S2: Survival-only effect","S2 Survival-only effect","Two-degree-of-freedom penalty case where treatment acts only through the binary observation component.",TRUE,300,3,FALSE,10000,0.05,0,20260491,"$\\pi_1 = 0.60$",0.45,0.6,0.45,0.449924723619129,0.134084503655493,"2026-04-17 17:59:18 CEST"
77,"S2",2,"S2: Survival-only effect","S2 Survival-only effect","Two-degree-of-freedom penalty case where treatment acts only through the binary observation component.",TRUE,350,3,FALSE,10000,0.05,0,20260492,"$\\pi_1 = 0.60$",0.45,0.6,0.45,0.45018928824459,0.124596729216953,"2026-04-17 18:00:34 CEST"
78,"S2",2,"S2: Survival-only effect","S2 Survival-only effect","Two-degree-of-freedom penalty case where treatment acts only through the binary observation component.",TRUE,400,3,FALSE,10000,0.05,0,20260493,"$\\pi_1 = 0.60$",0.45,0.6,0.45,0.449680664663714,0.116988092943762,"2026-04-17 18:01:57 CEST"
79,"S2",2,"S2: Survival-only effect","S2 Survival-only effect","Two-degree-of-freedom penalty case where treatment acts only through the binary observation component.",TRUE,450,3,FALSE,10000,0.05,0,20260494,"$\\pi_1 = 0.60$",0.45,0.6,0.45,0.451082496072125,0.109164826077459,"2026-04-17 18:02:59 CEST"
80,"S2",2,"S2: Survival-only effect","S2 Survival-only effect","Two-degree-of-freedom penalty case where treatment acts only through the binary observation component.",TRUE,500,3,FALSE,10000,0.05,0,20260495,"$\\pi_1 = 0.60$",0.45,0.6,0.45,0.449897895321417,0.10398860289249,"2026-04-17 18:04:19 CEST"
81,"S3",3,"S3: Antagonistic cancellation","S3 Antagonistic cancellation","Signature case where survival and survivor means move in opposite directions while the combined-outcome mean stays constant.",TRUE,50,0,TRUE,10000,0.05,0,20260496,"$\\pi_1 = 0.50$, $E[Y \\mid A = 1, R = 1] = 3.000$",0.5,0.5,0,0.00323962559209762,0.331962793687448,"2026-04-17 18:20:41 CEST"
82,"S3",3,"S3: Antagonistic cancellation","S3 Antagonistic cancellation","Signature case where survival and survivor means move in opposite directions while the combined-outcome mean stays constant.",TRUE,100,0,TRUE,10000,0.05,0,20260497,"$\\pi_1 = 0.50$, $E[Y \\mid A = 1, R = 1] = 3.000$",0.5,0.5,0,0.00273751708443395,0.233456411713266,"2026-04-17 18:21:59 CEST"
83,"S3",3,"S3: Antagonistic cancellation","S3 Antagonistic cancellation","Signature case where survival and survivor means move in opposite directions while the combined-outcome mean stays constant.",TRUE,150,0,TRUE,10000,0.05,0,20260498,"$\\pi_1 = 0.50$, $E[Y \\mid A = 1, R = 1] = 3.000$",0.5,0.5,0,0.000214627043141522,0.191321750363056,"2026-04-17 18:23:23 CEST"
